work_id,created_date,team,workstream,priority,status,estimated_hours,actual_hours,capacity_hours,due_date,closed_date
SMP-269,2026-01-16,Assessment Ops,Review,High,Closed,4.8,4.3,336.6,2026-01-28,
SMP-270,2026-05-11,Assessment Ops,Quality Check,High,Open,7.4,7.1,343.6,2026-05-18,
SMP-271,2026-04-24,Learner Support,Review,Medium,Resolved,5.8,2.5,319.5,2026-05-03,
SMP-272,2026-05-05,Review Team,Quality Check,Medium,Open,1.6,5.5,312.5,2026-05-10,
SMP-273,2026-04-27,Review Team,Documentation,High,Resolved,3.9,13.4,299.2,2026-05-03,
SMP-274,2026-04-06,Review Team,Documentation,Medium,Closed,8.2,3.3,384.0,2026-04-13,
SMP-275,2026-02-18,Content QA,Review,High,Closed,5.3,11.4,270.5,2026-03-04,
SMP-276,2026-06-03,Review Team,Review,High,Closed,1.8,4.2,340.5,2026-06-15,
SMP-277,2026-06-14,Assessment Ops,Review,Low,Closed,4.1,4.1,329.2,2026-06-18,
SMP-278,2026-04-22,Learner Support,Review,Low,Closed,5.4,12.8,321.1,2026-04-27,
SMP-279,2026-02-21,Learner Support,Review,High,Closed,8.0,4.2,275.2,2026-03-04,
SMP-280,2026-03-19,Learner Support,Support Ticket,High,Closed,3.1,4.2,286.8,2026-03-23,
SMP-281,2026-03-30,Review Team,Support Ticket,Low,In Progress,7.9,1.4,364.4,2026-04-12,
SMP-282,2026-01-01,Assessment Ops,Review,High,Closed,3.2,5.5,305.7,2026-01-13,
SMP-283,2026-01-04,Review Team,Documentation,High,Closed,5.8,11.0,360.8,2026-01-08,
SMP-284,2026-03-17,Assessment Ops,Quality Check,Medium,In Progress,0.1,12.8,353.4,2026-03-31,
SMP-285,2026-03-30,Content QA,Documentation,Medium,Closed,18.9,7.5,350.3,2026-04-12,
SMP-286,2026-01-26,Assessment Ops,Quality Check,Low,Closed,7.4,6.3,356.7,2026-02-03,
SMP-287,2026-02-04,Assessment Ops,Quality Check,Medium,Closed,10.3,5.7,287.6,2026-02-14,
SMP-288,2026-01-12,Review Team,Review,Low,Resolved,2.4,2.6,313.4,2026-01-18,
SMP-289,2026-06-02,Content QA,Support Ticket,Medium,Closed,2.8,10.4,353.8,2026-06-14,
SMP-290,2026-03-20,Learner Support,Quality Check,Medium,Resolved,0.6,7.9,285.8,2026-04-02,
SMP-291,2026-02-06,Review Team,Review,Medium,Closed,9.0,4.0,388.3,2026-02-17,
SMP-292,2026-05-10,Review Team,Quality Check,Low,Resolved,5.7,5.2,310.4,2026-05-14,
SMP-293,2026-06-10,Assessment Ops,Quality Check,Medium,Closed,1.9,5.6,327.7,2026-06-22,
SMP-294,2026-02-10,Content QA,Support Ticket,High,In Progress,1.8,3.3,294.1,2026-02-17,
SMP-295,2026-05-30,Review Team,Documentation,Low,Closed,2.0,1.5,342.8,2026-06-07,
SMP-296,2026-05-07,Review Team,Documentation,Medium,Closed,2.9,6.5,304.3,2026-05-19,
SMP-297,2026-05-11,Content QA,Quality Check,High,In Progress,1.1,4.7,321.5,2026-05-21,
SMP-298,2026-03-24,Assessment Ops,Documentation,Low,In Progress,4.7,10.9,290.1,2026-04-05,
SMP-299,2026-06-01,Learner Support,Documentation,High,Resolved,5.1,6.8,371.7,2026-06-07,
SMP-300,2026-01-14,Assessment Ops,Review,Critical,Open,8.5,5.2,272.9,2026-01-26,
